fips,unemp,extra_column
28049,5.4,62
28051,11.0,69
28053,11.4,32
28055,14.3,20
28057,5.0,5
28059,6.5,77
28061,7.7,99
28063,14.9,95
28065,8.3,88
28067,6.1,95
28069,8.7,32
28071,4.8,76
28073,4.5,95
28075,5.9,22
28077,7.1,71
28079,6.1,45
28081,4.8,75
28083,9.3,10
28085,5.7,5
28087,6.2,32
28089,4.3,70
28091,6.6,52
28093,6.0,34
28095,6.3,70
28097,6.4,62
28099,5.8,47
28101,6.0,45
28103,8.3,30
28105,5.5,1
28107,7.4,68
28109,6.0,21
28111,7.1,78
28113,6.8,79
28115,4.8,84
28117,5.5,54
28119,9.7,73
28121,4.0,56
28123,4.6,72
28125,8.9,48
28127,5.4,18
28129,5.3,45
28131,6.7,88
28133,9.5,10
28135,6.8,44
28137,5.8,41
28139,5.5,82
28141,5.5,34
28143,7.1,52
28145,4.4,23
28147,7.7,60
28149,6.4,77
28151,9.0,16
28153,7.3,80
28155,6.3,12
28157,10.2,18
28159,7.1,1
28161,6.2,60
28163,7.4,80
29001,5.7,9
29003,3.8,62
29005,4.6,15
29007,4.2,41
29009,4.5,1
29011,5.2,43
29013,5.3,23
29015,6.1,39
29017,5.1,71
29019,3.2,93
29021,4.1,37
29023,5.7,74
29025,4.6,93
29027,4.1,73
29029,5.7,25
29031,4.3,29
29033,5.4,91
29035,7.0,77
29037,4.1,48
29039,5.0,25
29041,4.3,59
29043,3.9,92
29045,7.3,59
29047,3.9,77
29049,4.2,89
29051,3.6,76
29053,4.9,93
29055,5.3,65
29057,4.4,91
29059,5.5,72
29061,3.8,56
29063,4.4,75
29065,5.4,48
29067,6.1,65
29069,8.2,95
29071,4.4,90
29073,4.3,71
29075,3.7,47
29077,3.8,81
29079,4.6,31
29081,4.2,48
29083,5.0,58
29085,5.6,28
29087,3.3,17
29089,4.4,9
29091,6.3,39
29093,7.1,65
29095,5.1,69
29097,4.1,7
29099,4.3,11
29101,4.9,37
29103,3.5,26
29105,5.5,29
29107,4.3,92
29109,4.3,88
29111,4.5,37
29113,4.5,48
29115,6.8,38
29117,3.9,41
29119,4.3,7
29121,4.8,81
29123,5.5,43
29125,5.0,28
29127,4.3,50
29129,4.6,86
29131,5.2,14
29133,6.6,28
29135,4.3,10
